longitude,latitude,Location,Cult,Image
-110.7499973,54.26666745,"Bonnyville, AB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-114.0580982,51.04532622,"Calgary, AB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-113.4909259,53.54439136,"Edmonton, AB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-118.7986128,55.16994146,"Grande Prairie, AB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-112.8327763,49.69417102,"Lethbridge, AB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-113.8112385,52.26811539,"Red Deer, AB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-122.4706623,49.05805361,"Aldergrove, BC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-115.7693964,49.51296825,"Cranbrook, BC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-119.4960069,49.88795426,"Kelowna, BC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-128.6031513,54.51819258,"Terrace, BC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-123.365641,48.4284255,"Victoria, BC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-97.13748995,49.89975454,"Winnipeg, MB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-68.32667368,47.36901524,"Edmunston, NB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-66.64311093,45.96359256,"Fredericton, NB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-64.77822685,46.08782112,"Moncton, NB",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-52.71283108,47.56054371,"St Johns, NL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-63.57531875,44.64886352,"Halifax, NS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-62.63762263,45.61685005,"Trenton, NS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-79.70161406,44.37809483,"Barrie, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-93.39552496,48.60995128,"Ft Frances, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-80.24816234,43.5448067,"Guelph, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-76.48594981,44.23117418,"Kingston, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-81.24317338,42.98695048,"London, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-79.64411843,43.58904614,"Mississauga, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-79.46081587,46.30911863,"North Bay, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-75.69719255,45.42153036,"Ottawa, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-78.31974293,44.30906164,"Peterborough, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-79.24686122,43.15937649,"St Catharines, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-81.00999586,46.49000143,"Sudbury, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-89.24768055,48.38089713,"Thunder Bay, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-79.38318207,43.6532303,"Toronto, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-83.00852798,42.2796105,"Windsor, ON",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-73.55399105,45.50867036,"Montreal, QC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-71.24279561,46.8032836,"Quebec City, QC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-71.06849011,48.42805653,"Saguenay, QC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-105.7530689,53.20335435,"Prince Albert, SK",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-104.606663,50.45472338,"Regina, SK",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-106.6476556,52.13437338,"Saskatoon, SK",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-102.4627738,51.21389171,"Yorkton, SK",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-72.58449378,-38.73382895,"Temuco, Cautin",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-70.70718946,19.45565462,"Santiago, Santiago",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-75.57513465,6.23592811,"Medellin, Antioquia",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-75.51828373,5.067133024,"Manizales, Caldas",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-77.05678158,-11.96026006,"Santa Fe de Bogota, Distrito Especial",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
