X,Y,Location,Cult,Image
-101.680496,21.123619,"León, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-99.127571,19.42705,"Mexico City, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-100.309204,25.67321,"Monterrey, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-109.444229,27.071541,"Navojoa, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-112.050003,25.416668,"Querétaro, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-98.297363,26.071222,"Reynosa, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-100.985542,22.156469,"San Luis Potosi, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-99.605003,18.556389,"Taxco, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-97.3936,18.461102,"Tehuacán, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-104.894577,21.503874,"Tepic, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.620003,20.969999,"Mérida, Yucatán, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-103.487778,25.563814,"Gomez Palacios, Mexico",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-59.550705,13.159056,Barbados,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
114.211807,22.249063,Hong Kong,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
79.875832,6.839722,Sri Lanka,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
106.845169,-6.211544,Jakarta,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
101.686852,3.139003,Kuala Lumpur,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
174.763336,-36.848461,"Auckland, New Zealand",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
174.164612,-35.184368,"Bay Of Islands, New Zealand",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
172.63623,-43.532055,"Christchurch, New Zealand",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
175.279251,-37.787003,"Hamilton, New Zealand",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
174.773239,-41.292496,"Wellington, New Zealand",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
103.818054,1.350507,Singapore,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
177.415466,-17.806227,"Nadi, Fiji",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
178.437195,-18.140633,"Suva, Fiji",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-76.790314,18.008774,Jamaica,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-60.968628,14.611492,Martinique,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
57.584839,-20.280231,Mauritius,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
176.912018,-39.492844,"Napier, New Zealand",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-60.953522,13.879413,St. Lucia,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-71.536888,-16.398823,"Arequipa, Peru",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-78.593575,-9.074544,"Chimbote, Peru",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-74.838867,-12.382928,"Huaraz, Peru",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-77.028336,-12.043333,"Lima, Peru",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-70.240829,-17.590891,"Tacna, Peru",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-79.030022,-8.11237,"Trujillo, Peru",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.190002,13.69,"San Salvador, El Salvador",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-56.166668,-34.883331,"Montevideo, Uruguay",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-69.334724,10.063611,"Barquisimeto, Venezuela",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-119.014893,35.371136,"Bakersfield, CA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-121.294556,37.965855,"Stockton, CA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-52.712673,47.561485,"St John's, NL, Canada",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-86.80249,33.52066,"Birmingham, AL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-86.006638,34.014263,"Gadsden, AL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-85.863823,31.032957,"Geneva, AL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-87.216911,30.421309,"Pensacola, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-88.05645,30.692841,"Mobile, AL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
